original_varname,acc_varname,groupid
*Concentration,*Concentration,CHAR
*sum,*sum,HERB
"4-5 colporat 20 mkm, psilat, schmetterlingsporen","4-5 colporat 20 mkm, psilat, schmetterlingsporen",NOPO
Abelia,Abelia,TRSH
ABIES,Abies,TRSH
Abies,Abies,TRSH
Abies alba,Abies,TRSH
Abies cilicica,Abies,TRSH
Abies nordmanniana,Abies,TRSH
Caryo. Trizoncolpate indet.,Abies,TRSH
Melia,Abies,TRSH
Abies-fargesii,Abies fargesii,TRSH
Abies marocana,Abies marocana,TRSH
Abies maroccana,Abies marocana,TRSH
Abies pinsapo,Abies pinsapo,TRSH
Abies sibirica,Abies sibirica,TRSH
Abies: stomata,Abies: stomata,MACR
ACACIA,Acacia,TRSH
Acacia,Acacia,TRSH
Acalypha,Acalypha,UPHE
Acanthaceae,Acanthaceae,HERB
Acanthus,Acanthus,HERB
Acanthus mollis,Acanthus,HERB
Acanthus-ilicifolium,Acanthus,HERB
Podosoma,"Acari, Oribatei",INVE
ACER,Acer campestre-type,TRSH
Acer,Acer campestre-type,TRSH
Acer campestre,Acer campestre-type,TRSH
Acer campestre type,Acer campestre-type,TRSH
Acer campestre type clumps,Acer campestre-type,TRSH
Acer campestre type clumps of two,Acer campestre-type,TRSH
Acer campestre-type,Acer campestre-type,TRSH
Acer pseudoplatanus,Acer campestre-type,TRSH
Acer turkestanica,Acer campestre-type,TRSH
Acer-type,Acer campestre-type,TRSH
Aceraceae,Acer campestre-type,TRSH
Aconitum,Aconitum,HERB
Aconitum T,Aconitum,HERB
Aconitum napellus-type,Aconitum,HERB
Aconitum septentrionale,Aconitum,HERB
Aconitum-group,Aconitum,HERB
Aconitum-type,Aconitum,HERB
Acorus,Acorus,HELO
Acritarchs,Acritarchs,ACRI
Acronychia,Acronychia,TRSH
Cimicifuga,Actaea,HERB
Cimicifuga foetida,Actaea,HERB
Souliea,Actaea,HERB
Actinidia,Actinidia,TRSH
Kiwi,Actinidia deliciosa,TRSH
Added exote (grains/ml),Added exote (grains/ml),NOPO
Adiantum,Adiantum capillus-veneris,VACR
Adina,Adina,TRSH
Adinandra,Adinandra,TRSH
Adonis,Adonis,HERB
Adonis-type,Adonis,INUN
Adonis aestivalis,Adonis aestivalis-type,HERB
Adonis aestivalis-type,Adonis aestivalis-type,HERB
Adonis annua-type,Adonis aestivalis-type,HERB
Adonis vernalis,Adonis vernalis,HERB
Adoxa,Adoxa moschatellina,HERB
Adoxa moschatellina,Adoxa moschatellina,HERB
Adoxaceae,Adoxaceae,HERB
Aegiceras,Aegiceras,TRSH
Aegiceras-corniculatum,Aegiceras corniculatum,TRSH
Aegopodium,Aegopodium podagraria,HERB
Aegopodium podagraria,Aegopodium podagraria,HERB
Aegopodium type,Aegopodium-type,UPHE
Aellenia-type,Aellenia-type,HERB
Aeschynanthus,Aeschynanthus,HERB
AESCULUS,Aesculus,TRSH
Aesculus,Aesculus,TRSH
Aesculus-wilsonii,Aesculus chinensis,TRSH
Aesculus hipocastanum,Aesculus hippocastanum,TRSH
Aesculus hippocastaneum,Aesculus hippocastanum,TRSH
Aesculus hippocastanum,Aesculus hippocastanum,TRSH
Aethusa cynapium-type,Aethusa cynapium,HERB
Aganosma,Aganosma,LIAN
Aglaia,Aglaia,TRSH
Agrimonia,Agrimonia/Aremonia,HERB
Agrimonia-type,Agrimonia/Aremonia,HERB
Agrostemma,Agrostemma githago,HERB
Agrostemma githago,Agrostemma githago,HERB
Randia-merrillii,Aidia henryi,TRSH
AILANTHUS,Ailanthus,TRSH
Ailanthus,Ailanthus,TRSH
Ailanthus altissima,Ailanthus,TRSH
Aizoaceae,Aizoaceae,HERB
Ajania,Ajania,HERB
Albizia,Albizia,TRSH
ALCHEMILLA,Alchemilla,HERB
Alchemilla,Alchemilla,HERB
Alchemilla pentaphylla-type,Alchemilla,HERB
Alchemilla pentaphyllea,Alchemilla,HERB
Alchemilla G,Alchemilla/Aphanes,HERB
Alchemilla-type,Alchemilla/Aphanes,HERB
Aphanes-type,Alchemilla/Aphanes,HERB
Algae,Algae,ALGA
Pediastrum boryanum var. longicorne,Algae,ALGA
Alis._pl-go,Alisma-type,AQUA
Alisma,Alisma-type,AQUA
Alisma plantago-aquatica,Alisma-type,AQUA
Alisma t.,Alisma-type,AQUA
Alisma-type,Alisma-type,AQUA
Alismataceae,Alismataceae,AQUA
Alkanna,Alkanna-type,HERB
Alkanna-type,Alkanna-type,HERB
Allium ursinum T,Allium ursinum-type,HERB
Allium ursinum type,Allium ursinum-type,HERB
Allium ursinum-type,Allium ursinum-type,HERB
Allium,Allium-type,HERB
Allium t.,Allium-type,HERB
Allium type,Allium-type,HERB
Allium-type,Allium-type,HERB
Allomorphia,Allomorphia,TRSH
Allophylus,Allophylus,TRSH
ALNUS,Alnus,TRSH
ALNUS indiff.,Alnus,TRSH
Alnus,Alnus,TRSH
Alnus undiff.,Alnus,TRSH
Alnus undifferentiated,Alnus,TRSH
Alnus-type,Alnus,TRSH
Alnus5p,Alnus,TRSH
Anus,Alnus,TRSH
ALNUS  incana,Alnus glutinosa-type,TRSH
Alnus cf. A. incana,Alnus glutinosa-type,TRSH
Alnus glutinosa,Alnus glutinosa-type,TRSH
Alnus glutinosa T,Alnus glutinosa-type,TRSH
Alnus glutinosa-type,Alnus glutinosa-type,TRSH
Alnus glutinosa/A. incana,Alnus glutinosa-type,TRSH
Alnus incana,Alnus glutinosa-type,TRSH
Alnus incana subsp. hirsuta,Alnus glutinosa-type,TRSH
Alnus incana/A. glutinosa,Alnus glutinosa-type,TRSH
Alnus incana/cordata-type,Alnus glutinosa-type,TRSH
Alnus non-viridis,Alnus glutinosa-type,TRSH
ALNUS viridis,Alnus viridis,TRSH
Alnaster,Alnus viridis,TRSH
"Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)",Alnus viridis,TRSH
Alnus cf. A. viridis,Alnus viridis,TRSH
Alnus fruticosa,Alnus viridis,TRSH
Alnus fruticosa-type,Alnus viridis,TRSH
Alnus viridis,Alnus viridis,TRSH
Alnus viridis subsp. crispa,Alnus viridis,TRSH
Alnus viridis subsp. crispa-type,Alnus viridis,TRSH
Alnus viridis subsp. fruticosa,Alnus viridis,TRSH
Alnus viridis subsp. fruticosa-type,Alnus viridis,TRSH
Duschekia,Alnus viridis,TRSH
Duschekia fruticosa= Alnus fruticosa-type,Alnus viridis,TRSH
Alocasia,Alocasia,HERB
Alternaria,Alternaria,FUNG
Altingia,Altingia,TRSH
Alyxia,Alyxia,HERB
Amblys-eae,Amblystegiaceae,MOSS
Ambrosia,Ambrosia,HERB
Ambrosia artemisiifolia-type,Ambrosia,HERB
Ambrosia t.,Ambrosia,HERB
Ambrosia-type,Ambrosia,HERB
AMBROSIA type,Ambrosia/Xanthium,HERB
Ambrosia type,Ambrosia/Xanthium,HERB
Ambrosia type: Xanthium,Ambrosia/Xanthium,HERB
Ambrosia-type,Ambrosia/Xanthium,HERB
Xanthium,Ambrosia/Xanthium,HERB
Xanthium-type,Ambrosia/Xanthium,HERB
Xanthium/Ambrosia,Ambrosia/Xanthium,HERB
Amorpha fruticosa,Amorpha fruticosa,TRSH
Amphitrema,Amphitrema,RHIZ
Anphitrema,Amphitrema,RHIZ
Ditrema,Amphitrema,RHIZ
Amphitrema flavum,Amphitrema flavum,RHIZ
Anabaena,Anabaena,NOPO
Anabaena,Anabaena,CYAN
Anabasis,Anabasis,HERB
Anacardiaceae,Anacardiaceae,TRSH
Anagallis,Anagallis,HERB
Anagallis arvensis,Anagallis arvensis-type,HERB
Anagallis arvensis type,Anagallis arvensis-type,HERB
Anagallis arvensis-type,Anagallis arvensis-type,HERB
Anagallis tenella,Anagallis tenella-type,HERB
Anagallis tenella type,Anagallis tenella-type,HERB
Anagallis tenella-type,Anagallis tenella-type,HERB
Anagallis type,Anagallis-type,HERB
Lysimachia,Anagallis-type,HERB
Lysimachia-type,Anagallis-type,HERB
Naumburgia,Anagallis-type,HERB
Analysed lines,Analysed lines,NOPO
Anchusa,Anchusa arvensis-type,HERB
Anchusa arvensis,Anchusa arvensis-type,HERB
Anchusa officinalis,Anchusa/Pulmonaria,HERB
Anchusa-type,Anchusa/Pulmonaria,HERB
Pulmonaria,Anchusa/Pulmonaria,HERB
Pulmonaria T,Anchusa/Pulmonaria,HERB
Pulmonaria t.,Anchusa/Pulmonaria,HERB
Pulmonaria type,Anchusa/Pulmonaria,HERB
Pulmonaria-group,Anchusa/Pulmonaria,HERB
Pulmonaria-type,Anchusa/Pulmonaria,HERB
Andrachne,Andrachne,DWAR
Andrachne telephioides,Andrachne,DWAR
Andromeda,Andromeda polifolia,DWAR
Andromeda polifolia,Andromeda polifolia,DWAR
Androsace,Androsace,HERB
Androsace-type,Androsace,HERB
Androsaceae,Androsace,HERB
Anemone hortensis,Anemone hortensis-type,HERB
Anemone,Anemone nemorosa-type,HERB
Anemone nemorosa,Anemone nemorosa-type,HERB
Anemone nemorosa-type,Anemone nemorosa-type,HERB
Anemone nemorosa-type/Hepatica nobilis,Anemone nemorosa-type,HERB
Anemone nemorosa/ranunculoides,Anemone nemorosa-type,HERB
Anemone typ,Anemone nemorosa-type,HERB
Anemone type,Anemone nemorosa-type,HERB
Anemone-type,Anemone nemorosa-type,HERB
Pulsatilla,Anemone nemorosa-type,HERB
Rosa-type,Anemone nemorosa-type,HERB
Anethum,Anethum,HERB
Anethum graveolens,Anethum graveolens,HERB
Anisosciadium-type,Anisosciadium,HERB
Annonaceae,Annonaceae,TRSH
Anodendron,Anodendron,LIAN
Anogramma leptophylla,Anogramma leptophylla,VACR
Antennaria,Antennaria-type,HERB
Antennaria-type,Antennaria-type,HERB
Anthericum,Anthericum,HERB
Anthericum-type,Anthericum,HERB
Anthoceros punctatus,Anthoceros punctatus-type,BRYO
Anthoceros,Anthoceros/Phaeoceros,BRYO
Anthostomella fuegiana,Anthostomella fuegiana,FUNG
Anthriscus sylvestris,Anthriscus sylvestris-type,HERB
Anthriscus sylvestris-type,Anthriscus sylvestris-type,HERB
Anthyllis,Anthyllis,HERB
Anthyllis vulneraria,Anthyllis,HERB
Anuraeopsis fissa,Anuraeopsis fissa,ROTI
Aphanamixis,Aphanamixis,TRSH
Aphanes,Aphanes,HERB
APIACEAE,Apiaceae,HERB
Ammi-type,Apiaceae,HERB
Angelica,Apiaceae,HERB
Angelica tp.,Apiaceae,HERB
Angelica type,Apiaceae,HERB
Angelica-type,Apiaceae,HERB
Anthriscus-type,Apiaceae,HERB
Apiaceae,Apiaceae,HERB
Apiaceae indet.,Apiaceae,HERB
Apiaceae small,Apiaceae,HERB
Apiaceae types 2&3,Apiaceae,HERB
Apiaceae undiff.,Apiaceae,HERB
Apiaceae undifferentiated,Apiaceae,HERB
"Apiaceae, Astoma",Apiaceae,HERB
Apium-type,Apiaceae,HERB
Apium/Berula,Apiaceae,HERB
Astoma,Apiaceae,HERB
Bupleurum t.,Apiaceae,HERB
Bupleurum-type,Apiaceae,HERB
Cfr Chaerophyllum,Apiaceae,HERB
Chaerophyllum,Apiaceae,HERB
Chaerophyllum-type,Apiaceae,HERB
Conium-type,Apiaceae,HERB
Conopodium-type,Apiaceae,HERB
Daucaceae,Apiaceae,HERB
Daucus type,Apiaceae,HERB
Daucus-type,Apiaceae,HERB
Echinophora,Apiaceae,HERB
Echinophora-type,Apiaceae,HERB
Eryngium-type,Apiaceae,HERB
Heracleum type,Apiaceae,HERB
Heracleum-type,Apiaceae,HERB
Laserpitium,Apiaceae,HERB
Oenanthe-type,Apiaceae,HERB
Torilis,Apiaceae,HERB
Torilis-type,Apiaceae,HERB
Turgenia-type,Apiaceae,HERB
UMBELLIFERAE,Apiaceae,HERB
Umbellifera,Apiaceae,HERB
Umbelliferae,Apiaceae,HERB
Umbelliferae  undiff. type,Apiaceae,HERB
Umbelliferae undiff.,Apiaceae,HERB
Umbellifereae,Apiaceae,HERB
cf Oenanthe,Apiaceae,HERB
cf. Heracleum sphondylium,Apiaceae,HERB
Apium inundatum type,Apium,HERB
Apium inundatum-type,Apium,AQUA
Apium inundatum-type,Apium,HERB
Apocynaceae,Apocynaceae,TRSH
Aporosa,Aporosa,UPHE
Aquifoliaceae,Aquifoliaceae,TRSH
Aquilegia,Aquilegia,HERB
Aquilegia type,Aquilegia,HERB
Aquilegia-type,Aquilegia,HERB
Araceae,Araceae,HERB
Aralia,Araliaceae,TRSH
Araliaceae,Araliaceae,TRSH
ARBUTUS,Arbutus,TRSH
Arbutus,Arbutus,TRSH
Arbutus unedo,Arbutus,TRSH
Arbutus-type,Arbutus,TRSH
Arcella,Arcella,RHIZ
Arcella C,Arcella,RHIZ
Arcella sp.,Arcella,RHIZ
Arcella arenaria,Arcella arenaria,RHIZ
Arcella artocrea,Arcella artocrea,RHIZ
Arcella catinus  type,Arcella catinus,RHIZ
Arcella discoides,Arcella discoides,RHIZ
Arcella discoides C,Arcella discoides,RHIZ
Arcella vulgaris,Arcella vulgaris,RHIZ
Arceuthobium,Arceuthobium oxycedri,TRSH
Arceuthobium oxycedri,Arceuthobium oxycedri,TRSH
cf Arceuthobium,Arceuthobium oxycedri,TRSH
Arctium,Arctium,HERB
Arctostaphylos,Arctostaphylos,DWAR
Arctostaphylos alpinus,Arctostaphylos alpinus,DWAR
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,DWAR
Ardisia,Ardisia,TRSH
Areca,Areca,PALM
Palmae,Arecaceae,TRSH
Arenaria,Arenaria,HERB
Arenaria-type,Arenaria,HERB
Argania spinosa,Argania spinosa,TRSH
Argemone,Argemone,HERB
Argostemma,Argostemma,HERB
Arisaema,Arisaema,HERB
Aristolochia,Aristolochia,HERB
Acantholimon,Armeria-type,HERB
Armeria,Armeria-type,HERB
Armeria maritima,Armeria-type,HERB
Armeria maritima subsp. elongata,Armeria-type,HERB
Armeria maritima-type,Armeria-type,HERB
Armeria-type,Armeria-type,HERB
Armeria-type A+B,Armeria-type,HERB
Goniolimon,Armeria-type,HERB
Arnebia-type,Arnebia,HERB
ARTEMISIA,Artemisia,HERB
Artemisia,Artemisia,HERB
Artemisia genipii/A. mutellina,Artemisia,HERB
Artemisia herba-alba-type,Artemisia,HERB
Artemisia norvegica,Artemisia,HERB
Artemisia type,Artemisia,HERB
Artemisia undiff.,Artemisia,HERB
Artemisia vulgaris-type,Artemisia,HERB
Artemisia-type,Artemisia,HERB
MYCOPHYTA,Artemisia,HERB
Artocarpus,Artocarpus,TRSH
Aruncus T,Aruncus/Spiraea,HERB
Aruncus t.,Aruncus/Spiraea,HERB
Aruncus-type,Aruncus/Spiraea,HERB
Spiraea,Aruncus/Spiraea,HERB
Spirea type,Aruncus/Spiraea,HERB
Ascodemis type UG 1285,Ascodemis-type,FUNG
Ascospores undiff.,Ascospores undiff.,FUNG
Asparagus,Asparagus,HERB
Asparagus t.,Asparagus,HERB
Asparagus-type,Asparagus,HERB
Liliaceae cf. Asparagus,Asparagus,HERB
Asphodeline,Asphodeline,HERB
Asphodelus,Asphodelus,HERB
Asphodelus albus,Asphodelus albus-type,HERB
Asphodelus albus t.,Asphodelus albus-type,HERB
Asphodelus albus-type,Asphodelus albus-type,HERB
Asphodelus fistulosus-type,Asphodelus fistulosus-type,HERB
Asphodelus-type,Asphodelus/Asphodeline,HERB
Asphodelus/Asphodeline,Asphodelus/Asphodeline,HERB
Asplenium ceterach type,Asplenium ceterach-type,VACR
ASPLENIUM,Asplenium-type,VACR
Asplenium,Asplenium-type,VACR
Asplenium scolopendrium,Asplenium-type,VACR
Asplenium trichomanes-ramosum,Asplenium-type,VACR
Asplenium type,Asplenium-type,VACR
Asplenium viride,Asplenium-type,VACR
Asplenium-type,Asplenium-type,VACR
Assulina,Assulina,RHIZ
Assulina muscorum,Assulina muscorum,RHIZ
Type 32 A: Assulina muscorum,Assulina muscorum,RHIZ
Assulina seminulum,Assulina seminulum,RHIZ
Aster,Aster-type,HERB
Aster  type,Aster-type,HERB
Aster bellidiastrum,Aster-type,HERB
Aster t.,Aster-type,HERB
Aster type,Aster-type,HERB
Aster-type,Aster-type,HERB
Asteraceae aster type,Aster-type,HERB
Bellis,Aster-type,HERB
Bellis-type,Aster-type,HERB
Eupatorium,Aster-type,HERB
Eupatorium cannabinum T,Aster-type,HERB
Eupatorium cannabinum-type,Aster-type,HERB
Eupatorium-type,Aster-type,HERB
Solidago,Aster-type,HERB
Solidago virgaurea-type,Aster-type,HERB
Asteraceae,Asteraceae,HERB
Asteraceae (C/A),Asteraceae,HERB
Asteraceae clumps,Asteraceae,HERB
Asteraceae undiff.,Asteraceae,HERB
Asteraceae undiff. type,Asteraceae,HERB
Asteraceae undifferentiated,Asteraceae,HERB
Asteraceae(equinulada),Asteraceae,HERB
"Asteraceae, HS",Asteraceae,HERB
"Asteraceae, Ptilostemon",Asteraceae,HERB
"Asteraceae, low spine",Asteraceae,HERB
C. Asteraceae,Asteraceae,HERB
Cardueae/Asteroideae,Asteraceae,HERB
Carduoideae,Asteraceae,HERB
Cirsium/Gundelia,Asteraceae,HERB
Compo.,Asteraceae,HERB
Compositae,Asteraceae,HERB
Compositae (echinate),Asteraceae,HERB
Compositae (fenestrate),Asteraceae,HERB
Compositae undif.,Asteraceae,HERB
Compositae undiff.,Asteraceae,HERB
Fenestrate undifferentiated,Asteraceae,HERB
A. tubuliflorae,Asteraceae subf. Asteroideae,HERB
ASTERACEAE aster.,Asteraceae subf. Asteroideae,HERB
ASTERACEAE tub.,Asteraceae subf. Asteroideae,HERB
ASTEROIDEAE,Asteraceae subf. Asteroideae,HERB
Achillea /Eupatorium tp.,Asteraceae subf. Asteroideae,HERB
Achillea/Aster,Asteraceae subf. Asteroideae,HERB
Achillea/Aster-type,Asteraceae subf. Asteroideae,HERB
Ast. tubulifl.,Asteraceae subf. Asteroideae,HERB
Ast. tubuliflorae,Asteraceae subf. Asteroideae,HERB
Aster. tubuliflorae,Asteraceae subf. Asteroideae,HERB
Aster/Achillea,Asteraceae subf. Asteroideae,HERB
Asteraceae (Asteroid./Card.),Asteraceae subf. Asteroideae,HERB
Asteraceae (Tubuliflorae),Asteraceae subf. Asteroideae,HERB
Asteraceae Asteroideae,Asteraceae subf. Asteroideae,HERB
Asteraceae Tubuliflorae,Asteraceae subf. Asteroideae,HERB
Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,HERB
Asteraceae subf. Asteroideae undiff.,Asteraceae subf. Asteroideae,HERB
Asteraceae tubul.,Asteraceae subf. Asteroideae,HERB
Asteraceae tubuliflorae,Asteraceae subf. Asteroideae,HERB
Asteraceae/Asteroideae,Asteraceae subf. Asteroideae,HERB
AsteraceaeAste,Asteraceae subf. Asteroideae,HERB
Asteroideae,Asteraceae subf. Asteroideae,HERB
Asteroideae cf. Carduus,Asteraceae subf. Asteroideae,HERB
Asteroideae pro parte,Asteraceae subf. Asteroideae,HERB
Asteroideae undiff.,Asteraceae subf. Asteroideae,HERB
Compositae Subfam. Asteroideae,Asteraceae subf. Asteroideae,HERB
Compositae subf. Asteroideae,Asteraceae subf. Asteroideae,HERB
Compositae subf. Asteroideae undiff.,Asteraceae subf. Asteroideae,HERB
Compositae tubuliflorae,Asteraceae subf. Asteroideae,HERB
Serratula type,Asteraceae subf. Asteroideae,HERB
Tubuliflorae,Asteraceae subf. Asteroideae,HERB
ASTERACEAE cichor.,Asteraceae subf. Carduoideae,HERB
CARDUUS type,Asteraceae subf. Carduoideae,HERB
Carduaceae,Asteraceae subf. Carduoideae,HERB
Cardueae,Asteraceae subf. Carduoideae,HERB
Carduoideae,Asteraceae subf. Carduoideae,HERB
Cirsium typ,Asteraceae subf. Carduoideae,HERB
Cirsium type,Asteraceae subf. Carduoideae,HERB
Cirsium-type,Asteraceae subf. Carduoideae,HERB
Cirsium/Carduus,Asteraceae subf. Carduoideae,HERB
Cirsium/Carduus-type,Asteraceae subf. Carduoideae,HERB
ASTERACEAE lig.,Asteraceae subf. Cichorioideae,HERB
Ast. ligulifl.,Asteraceae subf. Cichorioideae,HERB
Ast. liguliflorae,Asteraceae subf. Cichorioideae,HERB
Aster. liguliflorae,Asteraceae subf. Cichorioideae,HERB
Asteraceae (Lactuc.),Asteraceae subf. Cichorioideae,HERB
Asteraceae (Liguliflorae),Asteraceae subf. Cichorioideae,HERB
Asteraceae (liguliflorae),Asteraceae subf. Cichorioideae,HERB
Asteraceae Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Asteraceae Liguliflorae,Asteraceae subf. Cichorioideae,HERB
Asteraceae ligulifl.,Asteraceae subf. Cichorioideae,HERB
Asteraceae liguliflorae,Asteraceae subf. Cichorioideae,HERB
Asteraceae subf. Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Asteraceae subf. Cichorioideae undiff.,Asteraceae subf. Cichorioideae,HERB
Asteraceae subfam. Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Asteraceae subfam. Cichorioideae undifferentiated,Asteraceae subf. Cichorioideae,HERB
Asteraceae/Cichorioideae,Asteraceae subf. Cichorioideae,HERB
AsteraceaeCich,Asteraceae subf. Cichorioideae,HERB
C. Cichoriaceae,Asteraceae subf. Cichorioideae,HERB
CICHORIOIDEAE,Asteraceae subf. Cichorioideae,HERB
COMP. LIGULIFLORAE,Asteraceae subf. Cichorioideae,HERB
Cichor-eae,Asteraceae subf. Cichorioideae,HERB
Cichoreaceae,Asteraceae subf. Cichorioideae,HERB
Cichoriaceae,Asteraceae subf. Cichorioideae,HERB
Cichorieae,Asteraceae subf. Cichorioideae,HERB
Cichorieae undiff.,Asteraceae subf. Cichorioideae,HERB
Cichorioidae,Asteraceae subf. Cichorioideae,HERB
Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Cichorioideae undiff.,Asteraceae subf. Cichorioideae,HERB
Cichoroideae,Asteraceae subf. Cichorioideae,HERB
Compositae Liguliflorae,Asteraceae subf. Cichorioideae,HERB
Compositae Subfam. Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Compositae subf. Cichorioideae,Asteraceae subf. Cichorioideae,HERB
Compositae subf. Cichorioideae undiff.,Asteraceae subf. Cichorioideae,HERB
Lactucae,Asteraceae subf. Cichorioideae,HERB
Lactuceae,Asteraceae subf. Cichorioideae,HERB
Lactuceae undiff.,Asteraceae subf. Cichorioideae,HERB
Lactuceae undiff.  type,Asteraceae subf. Cichorioideae,HERB
Lactucoideae,Asteraceae subf. Cichorioideae,HERB
Liguliflorae,Asteraceae subf. Cichorioideae,HERB
Liguliflorae clumps,Asteraceae subf. Cichorioideae,HERB
Scorzonera,Asteraceae subf. Cichorioideae,HERB
Scorzonera type,Asteraceae subf. Cichorioideae,HERB
Scorzonera-type,Asteraceae subf. Cichorioideae,HERB
Taraxacum,Asteraceae subf. Cichorioideae,HERB
cf. Taraxacum,Asteraceae subf. Cichorioideae,INUN
Asterosporium asterospermum,Asterosporium asterospermum,FUNG
Astragalus,Astragalus-type,HERB
Astragalus T,Astragalus-type,HERB
Astragalus alpinus,Astragalus-type,HERB
Astragalus alpinus-type,Astragalus-type,HERB
Astragalus type,Astragalus-type,HERB
Astragalus undiff.,Astragalus-type,HERB
Astragalus-type,Astragalus-type,HERB
Astragalus/Oxytropis-type,Astragalus-type,HERB
Fabaceae astragalus type,Astragalus-type,HERB
Lotus,Astragalus-type,HERB
Lotus type,Astragalus-type,HERB
Lotus-type,Astragalus-type,HERB
Melilotus,Astragalus-type,HERB
cf. Astragalus alpinus-type,Astragalus-type,HERB
Astrantia,Astrantia-type,HERB
Astrantia major type,Astrantia-type,HERB
Astrantia major-type,Astrantia-type,HERB
Astrantia type,Astrantia-type,HERB
Astrantia-type,Astrantia-type,HERB
Sanicula,Astrantia-type,HERB
Sanicula-type,Astrantia-type,HERB
Athamanta cretensis,Athamanta cretensis,HERB
Ath._f.-f.,Athyrium filix-femina,VACR
Athyrium,Athyrium filix-femina,VACR
Athyrium filix femina,Athyrium filix-femina,VACR
Athyrium filix-femina,Athyrium filix-femina,VACR
Atractylodes,Atractylodes,HERB
Atraphaxis,Atraphaxis,HERB
Atraphaxis,Atraphaxis,TRSH
Atrichum spores,Atrichum spores,BRYO
Aucuba,Aucuba,TRSH
Avena,Avena-type,HERB
Avena T,Avena-type,HERB
Avena sativa,Avena-type,HERB
Avena t.,Avena-type,HERB
Avena type,Avena-type,HERB
Avena-type,Avena-type,HERB
Cerealia,Avena-type,HERB
Setaria,Avena-type,HERB
Avena Triticum group,Avena/Triticum-type,HERB
Avena-Triticum,Avena/Triticum-type,HERB
Avena-Triticum group,Avena/Triticum-type,HERB
Avena/Triticum,Avena/Triticum-type,HERB
Avena/Triticum group,Avena/Triticum-type,HERB
Avena/Triticum-group,Avena/Triticum-type,HERB
Avena/Triticum-type,Avena/Triticum-type,HERB
Triticum,Avena/Triticum-type,HERB
Triticum type,Avena/Triticum-type,HERB
Triticum/Avena-type,Avena/Triticum-type,HERB
Avicennia-marina,Avicennia marina,TRSH
Azolla,Azolla,VACR
Azolla: massulae,Azolla filiculoides,AQPT
Azolla-Salvinia massula,Azolla/Salvinia,AQPT
Azolla-Salvinia microspore,Azolla/Salvinia,AQPT
Azolla/Salvinia spore(s),Azolla/Salvinia,AQPT
Salvinia-Azolla massulae,Azolla/Salvinia,AQPT
Salvinia-Azolla microspores,Azolla/Salvinia,AQPT
Salvinia/Azolla,Azolla/Salvinia,AQUA
Salvinia/Azolla: massulae,Azolla/Salvinia,AQPT
Ballota,Ballota-type,HERB
Ballota-group,Ballota-type,HERB
Ballota-type,Ballota-type,HERB
Balsaminaceae,Balsaminaceae,HERB
Bauhinia,Bauhinia,TRSH
Berberidaceae,Berberidaceae,TRSH
BERBERIS,Berberis,TRSH
Berberis,Berberis,TRSH
Berberis vulgaris,Berberis,TRSH
Berberis-type,Berberis,TRSH
Bergenia crassifolia,Bergenia crassifolia,HERB
Berula erecta,Berula erecta,HELO
Beta type,Beta,HERB
Beta-type,Beta,HERB
BETULA,Betula,TRSH
Betula,Betula,TRSH
Betula or Bet.s.Albae,Betula,TRSH
Betula sect. Betula,Betula,TRSH
Betula tree,Betula,TRSH
Betula undiff.,Betula,TRSH
Betula undifferentiated,Betula,TRSH
Betula-middendorfii,Betula,TRSH
Betula-type,Betula,TRSH
cf. Betula nana,Betula,TRSH
Betula-albo-sinensis,Betula albosinensis,TRSH
Betula-costata,Betula costata,TRSH
Betula-dahurica,Betula dahurica,TRSH
Betula glandulosa,Betula glandulosa,TRSH
BETULA NANA,Betula nana-type,DWAR
Bet._nana,Betula nana-type,DWAR
Betula cf. B. nana,Betula nana-type,DWAR
Betula exilis,Betula nana-type,DWAR
Betula fruticosa,Betula nana-type,DWAR
Betula fruticosa,Betula nana-type,TRSH
Betula humilis,Betula nana-type,DWAR
Betula nana,Betula nana-type,DWAR
Betula nana-type,Betula nana-type,DWAR
Betula nana-type,Betula nana-type,TRSH
Betula nana=Betula sect. Nanae,Betula nana-type,DWAR
Betula sect. Fruticosae,Betula nana-type,DWAR
Betula sect. Fruticosae,Betula nana-type,TRSH
Betula sect. Nanae,Betula nana-type,DWAR
Betula sect. Nanae-type,Betula nana-type,DWAR
Betula sect. Nanae/Fruticosa,Betula nana-type,DWAR
Betula sect. Nanae/Fruticosae-type,Betula nana-type,DWAR
Betula (excl. B. nana),Betula pubescens-type,TRSH
Betula alba,Betula pubescens-type,TRSH
Betula alba-type,Betula pubescens-type,TRSH
Betula pendula,Betula pubescens-type,TRSH
Betula pendula/pubescens,Betula pubescens-type,TRSH
Betula platyphylla,Betula pubescens-type,TRSH
Betula pubescens,Betula pubescens-type,TRSH
Betula pubescens-type,Betula pubescens-type,TRSH
Betula sect. Albae,Betula pubescens-type,TRSH
Betula sect. Albae-type,Betula pubescens-type,TRSH
